"measure_group","model","k","estimate","se","ci.lb","ci.ub","p","tau2","i2","ratio_10y","ratio_10y_ci_lb","ratio_10y_ci_ub","data_type","outcome_category","ratio","ratio_ci_lb","ratio_ci_ub"
"generic","year_slope_by_measure_group",31,-0.000777765086542327,0.00122297576366889,-0.00317475353729873,0.00161922336421407,0.524801737047786,0,0,0.992252516799216,0.968751126600323,1.01632403830027,NA,NA,NA,NA,NA
"log_ratio","year_slope_by_measure_group",4178,5.78859158898267e-07,1.74463553920713e-05,-3.36153690710476e-05,3.47730873888442e-05,0.97353154584464,0,0,1.00000578860834,0.999663902802611,1.00034779133928,NA,NA,NA,NA,NA
"mean_diff","year_slope_by_measure_group",117,0.000304126830656354,0.000490969075827135,-0.000658154875487745,0.00126640853680045,0.535625267544841,4.89462860158208e-08,0.0747653500452788,1.00304589765486,0.993440062199953,1.01274461448057,NA,NA,NA,NA,NA
NA,"year_slope_by_type",4181,3.89971625089792e-07,1.74351654888604e-05,-3.37823247975723e-05,3.45622680477519e-05,0.982155236953132,0,0,NA,NA,NA,"binary",NA,NA,NA,NA
NA,"year_slope_by_type",114,0.00369593696144125,0.00139910953995361,0.000953732652705771,0.00643814127017672,0.00825068780967749,0,0,NA,NA,NA,"continuous",NA,NA,NA,NA
NA,"year_slope_by_type",31,-0.000777765086542327,0.00122297576366889,-0.00317475353729873,0.00161922336421407,0.524801737047786,0,0,NA,NA,NA,"giv",NA,NA,NA,NA
NA,"year_slope_by_category",547,-1.66301390355694e-05,2.2366782854583e-05,-6.046822788058e-05,2.72079498094413e-05,0.457167224678211,0,0,NA,NA,NA,NA,"adverse_events",NA,NA,NA
NA,"year_slope_by_category",171,0.0142288650587902,0.00275245062867669,0.00883416095735923,0.0196235691602211,2.34688497263868e-07,0.000141087956056018,24.5543226085018,NA,NA,NA,NA,"biomarker",NA,NA,NA
NA,"year_slope_by_category",12,0.00761961235022992,0.0357927890011429,-0.0625329649982516,0.0777721896987114,0.83141961613155,0,0,NA,NA,NA,NA,"cost",NA,NA,NA
NA,"year_slope_by_category",119,-0.00122400238088399,0.00240230354177424,-0.00593243080269452,0.00348442604092654,0.61039341874993,4.86033162493095e-05,9.73300488390227,NA,NA,NA,NA,"function_score",NA,NA,NA
NA,"year_slope_by_category",61,-0.00201503826507442,0.0117911542437003,-0.0251252759188836,0.0210951993887347,0.864307064437268,0,0,NA,NA,NA,NA,"length_of_stay",NA,NA,NA
NA,"year_slope_by_category",383,0.000451177452843634,0.000670280188307797,-0.000862547575790372,0.00176490248147764,0.500872419729495,3.78907160575453e-06,3.06896782776715,NA,NA,NA,NA,"mortality",NA,NA,NA
NA,"year_slope_by_category",2636,2.52972499134732e-05,2.79130090386774e-05,-2.94112425024755e-05,8.00057423294219e-05,0.364782965647156,0,0,NA,NA,NA,NA,"other",NA,NA,NA
NA,"year_slope_by_category",116,0.000556140609508633,0.000564915621274159,-0.000551073662492788,0.00166335488151005,0.324886103651859,0,0,NA,NA,NA,NA,"pain",NA,NA,NA
NA,"year_slope_by_category",136,0.00282251654375083,0.00215190635561751,-0.00139514241136232,0.00704017549886399,0.189643184348621,0,0,NA,NA,NA,NA,"quality_of_life",NA,NA,NA
NA,"year_slope_by_category",53,0.00509235832945002,0.00583556233049841,-0.0063451336678655,0.0165298503267655,0.382858095914679,0.000795236250717201,64.1554513363666,NA,NA,NA,NA,"relapse",NA,NA,NA
NA,"year_slope_by_category",92,-0.00623226975454154,0.00242937661025411,-0.0109937604155236,-0.00147077909355948,0.0103063403798205,0.000198535690411071,63.6915802417474,NA,NA,NA,NA,"response",NA,NA,NA
"log_ratio","pre_indicator_by_measure_group",1832,0.00564477599553324,0.00665285107234969,-0.00739457250078083,0.0186841244918473,0.396173641703247,0.0046752858334494,9.89842811860236,NA,NA,NA,NA,NA,1.00566073776295,0.99263270008601,1.01885976493651
"mean_diff","pre_indicator_by_measure_group",46,-0.0453411139281623,0.0437010381693133,-0.130993574827027,0.040311346970702,0.299489179843458,0,0,NA,NA,NA,NA,NA,0.955671433389753,0.877223410685086,1.04113487792575
NA,"pre_indicator_by_type",1832,0.00564477599553324,0.00665285107234969,-0.00739457250078083,0.0186841244918473,0.396173641703247,0.0046752858334494,9.89842811860236,NA,NA,NA,"binary",NA,NA,NA,NA
NA,"pre_indicator_by_type",46,-0.0453411139281623,0.0437010381693133,-0.130993574827027,0.040311346970702,0.299489179843458,0,0,NA,NA,NA,"continuous",NA,NA,NA,NA
NA,"pre_indicator_by_category",176,0.000894398210590274,0.026103533072361,-0.0502675864804874,0.052056382901668,0.972667036501161,0.0265142564199204,45.5981641011447,NA,NA,NA,NA,"adverse_events",NA,NA,NA
NA,"pre_indicator_by_category",76,-0.142828512129742,0.0850435494960221,-0.309510806259395,0.0238537819999106,0.0930595144014464,0,0,NA,NA,NA,NA,"biomarker",NA,NA,NA
NA,"pre_indicator_by_category",54,0.138990516328177,0.0289263456854851,0.0822959205802701,0.195685112076083,1.54766872489424e-06,0,0,NA,NA,NA,NA,"function_score",NA,NA,NA
NA,"pre_indicator_by_category",23,0.0468132793920901,0.253147340825272,-0.44934639140753,0.54297295019171,0.853287839103249,0,0,NA,NA,NA,NA,"length_of_stay",NA,NA,NA
NA,"pre_indicator_by_category",1239,0.00332484804476274,0.00775378007069392,-0.0118722816378418,0.0185219777273673,0.668066230419987,0.00189915352154882,3.86784612603212,NA,NA,NA,NA,"other",NA,NA,NA
NA,"pre_indicator_by_category",50,-0.05429169557193,0.0296884406562304,-0.112479970015296,0.00389657887143616,0.0674423201532762,4.88093426872165e-06,0.00972549533564122,NA,NA,NA,NA,"pain",NA,NA,NA
NA,"pre_indicator_by_category",37,-0.100863243085152,0.257591651855473,-0.605733603440059,0.404007117269755,0.695381466193607,0,0,NA,NA,NA,NA,"quality_of_life",NA,NA,NA
NA,"pre_indicator_by_category",29,0.101643014036821,0.0862760154584774,-0.0674548689914153,0.270740897065058,0.238751011936273,0.111678633453699,59.6542617207932,NA,NA,NA,NA,"relapse",NA,NA,NA
NA,"pre_indicator_by_category",41,0.0914538382431694,0.0206431172900701,0.0509940718259959,0.131913604660343,9.41309302205205e-06,5.55767774285489e-07,0.00299565876561335,NA,NA,NA,NA,"response",NA,NA,NA
