"cutoff","measure","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sign_flip"
1950,"MD",5,0.6,0.8,0.8,0.481131297211178,-1.59568878304726,0,0
1950,"RR",201,0.306532663316583,0.78391959798995,0.904522613065327,0,0.653831363023995,0.0753768844221105,0.0904522613065327
1952,"MD",5,0.6,0.8,0.8,0.481131297211178,-1.59568878304726,0,0
1952,"RR",205,0.300492610837438,0.788177339901478,0.9064039408867,0,0.640947986412685,0.0738916256157636,0.0935960591133005
1954,"MD",5,0.6,0.8,0.8,0.481131297211178,-1.59568878304726,0,0
1954,"RR",211,0.30622009569378,0.779904306220096,0.909090909090909,0,0.706224764220064,0.0717703349282297,0.0909090909090909
1956,"MD",5,0.6,0.8,0.8,0.481131297211178,-1.59568878304726,0,0
1956,"RR",229,0.308370044052863,0.73568281938326,0.889867841409692,0,0.65203652010584,0.0748898678414097,0.0837004405286344
1958,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1958,"RR",237,0.31063829787234,0.74468085106383,0.893617021276596,0,0.631028500108209,0.0723404255319149,0.0808510638297872
1960,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1960,"RR",237,0.28936170212766,0.719148936170213,0.868085106382979,0,-1.05442695678014,0.0765957446808511,0.0808510638297872
1962,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1962,"RR",238,0.283898305084746,0.716101694915254,0.860169491525424,0,-1.62089334545717,0.076271186440678,0.0805084745762712
1964,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1964,"RR",239,0.286919831223629,0.713080168776371,0.848101265822785,0,-1.45887956990229,0.0759493670886076,0.080168776371308
1966,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1966,"RR",246,0.290983606557377,0.709016393442623,0.840163934426229,0,-1.04596011511064,0.0819672131147541,0.0819672131147541
1968,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1968,"RR",260,0.294573643410853,0.709302325581395,0.802325581395349,0,-2.05241029332289,0.0736434108527132,0.0775193798449612
1970,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1970,"RR",261,0.297297297297297,0.71042471042471,0.803088803088803,0,-2.03005428419381,0.0733590733590734,0.0772200772200772
1972,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1972,"RR",271,0.29368029739777,0.721189591078067,0.810408921933085,0,-2.09301583414943,0.0706319702602231,0.0743494423791822
1974,"MD",7,0.571428571428571,0.714285714285714,0.714285714285714,0.161779670336628,-13.7040626466615,0,0
1974,"RR",284,0.304964539007092,0.723404255319149,0.815602836879433,0,-1.55705413388146,0.0709219858156028,0.0709219858156028
1976,"MD",7,0.571428571428571,0.714285714285714,0.714285714285714,0.161779670336628,-13.7040626466615,0,0
1976,"RR",294,0.308219178082192,0.726027397260274,0.815068493150685,0,-1.59608747932502,0.0684931506849315,0.0719178082191781
1978,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1978,"RR",361,0.268361581920904,0.754237288135593,0.838983050847458,0,-0.742955283872378,0.0932203389830508,0.0819209039548023
1980,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1980,"RR",372,0.265753424657534,0.758904109589041,0.835616438356164,0,-0.807556891647534,0.0904109589041096,0.0821917808219178
1982,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1982,"RR",414,0.266009852216749,0.75615763546798,0.820197044334975,0,-1.0684238352813,0.0862068965517241,0.0812807881773399
1984,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1984,"OR",1,0,1,1,0,0,0,0
1984,"RR",453,0.261261261261261,0.772522522522523,0.826576576576577,0,-1.16903383042608,0.0810810810810811,0.0990990990990991
1986,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1986,"OR",2,0,1,1,0,0,0,0
1986,"RR",585,0.25,0.772569444444444,0.828125,0,-1.24812474867146,0.0694444444444444,0.0920138888888889
1988,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.0970488265984,0.0909090909090909,0
1988,"OR",2,0,1,1,0,0,0,0
1988,"RR",701,0.252890173410405,0.78757225433526,0.84393063583815,0,-1.1256767505718,0.0722543352601156,0.0852601156069364
1990,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.0970488265984,0.0909090909090909,0
1990,"OR",2,0,1,1,0,0,0,0
1990,"RR",903,0.267337807606264,0.763982102908277,0.84675615212528,0,-1.27918086676367,0.0659955257270693,0.0894854586129754
1992,"MD",12,0.416666666666667,0.75,0.75,0,-13.8010721265914,0.0833333333333333,0
1992,"OR",1,0,1,1,0,0,0,0
1992,"RR",1033,0.240940254652302,0.746327130264447,0.8256611165524,0,-2.09301725802028,0.079333986287953,0.0920666013712047
1994,"MD",30,0.533333333333333,0.866666666666667,0.866666666666667,0.151852598736177,-5.60444843799607,0.1,0
1994,"OR",1,0,1,1,0,0,0,0
1994,"RR",1250,0.22995951417004,0.746558704453441,0.833198380566802,0,-2.25621962554229,0.0809716599190283,0.0882591093117409
1996,"MD",32,0.5625,0.875,0.875,0.436015371034777,-5.18877915328876,0.09375,0
1996,"OR",1,0,1,1,0,0,0,0
1996,"RR",1457,0.240444753300903,0.747046560111188,0.817929117442668,0,-1.73999864885219,0.0799166087560806,0.0854760250173732
1998,"GEN",2,1,1,1,0.892880229549987,0.892880229549987,0,0
1998,"MD",52,0.557692307692308,0.730769230769231,0.846153846153846,0.297228693555717,-4.35813723673359,0.0769230769230769,0.0192307692307692
1998,"OR",1,0,1,1,0,0,0,0
1998,"RR",1687,0.225690276110444,0.740096038415366,0.80672268907563,0,-2.31876573262701,0.0822328931572629,0.0816326530612245
2000,"GEN",4,0.5,1,1,0.331393685641387,0.446440114774994,0,0
2000,"MD",61,0.60655737704918,0.688524590163934,0.786885245901639,0.509324946884036,-7.15916712543841,0.0819672131147541,0.0163934426229508
2000,"OR",2,0,1,1,0,0,0,0
2000,"RR",2139,0.24940954180444,0.748700991969769,0.811998110533774,0,-1.79443570707588,0.0821917808219178,0.0921114785073217
2002,"GEN",5,0.6,1,1,0.662787371282775,0.516586555595143,0,0
2002,"MD",67,0.537313432835821,0.656716417910448,0.761194029850746,0.0596379989503077,-9.28267992146708,0.149253731343284,0.0149253731343284
2002,"OR",3,0,1,1,0,-0.000203974858966754,0,0.333333333333333
2002,"RR",2412,0.229515050167224,0.740802675585284,0.798913043478261,0,-2.52112447259471,0.0861204013377926,0.104096989966555
2004,"GEN",8,0.75,1,1,0.960072703346469,0.832152656694131,0,0
2004,"MD",67,0.373134328358209,0.686567164179104,0.776119402985075,-4.6717659742652e-05,-7.56419663653982,0.134328358208955,0.0597014925373134
2004,"OR",3,0,1,1,0,-0.000203974858966754,0,0.333333333333333
2004,"RR",2753,0.228519195612431,0.740767824497258,0.805850091407678,0,-1.15526977226206,0.0892138939670932,0.107495429616088
2006,"GEN",12,0.75,0.833333333333333,0.916666666666667,1.14659098614888,-0.608949067574116,0.0833333333333333,0
2006,"MD",77,0.38961038961039,0.623376623376623,0.74025974025974,0,-5.98061653312759,0.142857142857143,0.051948051948052
2006,"OR",3,0,1,1,0,-0.000545655985587747,0,0.333333333333333
2006,"RR",3123,0.213178294573643,0.741602067183463,0.809431524547804,0,-1.09741162113161,0.0904392764857881,0.106912144702842
2008,"GEN",22,0.590909090909091,0.636363636363636,0.818181818181818,0.783635515722779,0.513740965861194,0.136363636363636,0.0454545454545455
2008,"MD",83,0.409638554216867,0.566265060240964,0.72289156626506,0,-6.59166025836644,0.156626506024096,0.036144578313253
2008,"OR",1,0,1,1,0,0,0,0
2008,"RR",3379,0.193962940824866,0.7498505678422,0.80842797369994,0,-1.48021312902534,0.0771069934249851,0.123729826658697
2010,"GEN",27,0.592592592592593,0.740740740740741,0.814814814814815,0.826887331360574,0.889765675041329,0.148148148148148,0.0740740740740741
2010,"MD",94,0.382978723404255,0.606382978723404,0.74468085106383,0,-5.21275332775446,0.159574468085106,0.074468085106383
2010,"OR",1,0,1,1,0,0,0,0
2010,"RR",3375,0.176294522598025,0.748877581562406,0.81592337623466,0,-1.36711481979075,0.0885962286740497,0.144567494762047
2012,"GEN",31,0.645161290322581,0.387096774193548,0.612903225806452,2.30738090317251,-2.03574927226615,0.129032258064516,0.0967741935483871
2012,"MD",106,0.490566037735849,0.594339622641509,0.735849056603774,0,-4.4057425068628,0.179245283018868,0.0377358490566038
2012,"OR",1,0,1,1,0,0,0,0
2012,"RR",3364,0.174526884950436,0.751877440672875,0.809252027635927,0,-1.33658374186549,0.0913187143286272,0.157404626013818
2014,"GEN",32,0.4375,0.40625,0.53125,0,-5.51199845833352,0.125,0.21875
2014,"MD",115,0.521739130434783,0.556521739130435,0.695652173913043,0.0890734203276509,-6.18083863811078,0.173913043478261,0.0521739130434783
2014,"OR",2,0.5,1,1,1.26010888803163,1.26010888803163,0,1
2014,"RD",2,0.5,0.5,0.5,6.8149263936201,6.8149263936201,0,0
2014,"RR",3322,0.15587967183227,0.755697356426618,0.812822850197508,0,-1.73880712362595,0.0966271649954421,0.161652993011243
2016,"GEN",32,0.375,0.34375,0.5625,-0.00062659578907817,-6.50920033177452,0.125,0.1875
2016,"MD",132,0.409090909090909,0.598484848484849,0.712121212121212,0,-6.33225771169494,0.257575757575758,0.0606060606060606
2016,"OR",2,0.5,1,1,1.15368576119854,1.15368576119854,0,1
2016,"RD",2,0,0.5,1,-3.22926473526781,-3.22926473526781,0,0.5
2016,"RR",3068,0.145867632532104,0.750411590385249,0.793546262759302,0,-2.18638727938482,0.109976950938426,0.180111952584788
2018,"GEN",31,0.193548387096774,0.32258064516129,0.387096774193548,-9.28256975117982,-12.3137235489781,0.0645161290322581,0.129032258064516
2018,"MD",117,0.444444444444444,0.547008547008547,0.641025641025641,0,-8.78990464324701,0.307692307692308,0.0683760683760684
2018,"OR",3,0.333333333333333,1,1,0,0.769123840799027,0,0.666666666666667
2018,"RD",2,0,0.5,1,-3.22926473526781,-3.22926473526781,0,0.5
2018,"RR",2720,0.140155728587319,0.761957730812013,0.804597701149425,0,-1.80094628387625,0.110493140526511,0.187245087133852
2020,"GEN",19,0.157894736842105,0.421052631578947,0.421052631578947,-3.66356019234179,-20.7220445196626,0.315789473684211,0.0526315789473684
2020,"MD",97,0.309278350515464,0.371134020618557,0.463917525773196,-1.70572249041622,-17.2429324894508,0.350515463917526,0.0721649484536082
2020,"OR",1,1,1,1,2.30737152239708,2.30737152239708,0,1
2020,"RD",1,0,0,1,-6.45852947053562,-6.45852947053562,0,1
2020,"RR",2113,0.125357483317445,0.771687321258341,0.815538608198284,0,-2.37592417138618,0.112011439466158,0.207816968541468
2022,"GEN",4,0,1,1,0,-0.96018340474567,0.25,0
2022,"MD",62,0.193548387096774,0.306451612903226,0.354838709677419,-21.8307357255638,-27.1037475831268,0.306451612903226,0.112903225806452
2022,"RR",932,0.133620689655172,0.71875,0.760775862068966,0,-3.50689363211329,0.119612068965517,0.228448275862069
2024,"MD",3,0,0.333333333333333,0.333333333333333,-37.9854100446852,-40.2733072283474,0,0.333333333333333
2024,"RR",121,0.216666666666667,0.541666666666667,0.575,0,-1.42628063982034,0.2,0.183333333333333
