dataset,outcome_type,k,total_n,I2,information_fraction,het_adj_power,z_stability_approx,sequential_status,significant,IAI_final,IAI_final_class
CD013874_pub3_data,binary,117,75335,50.7,1.396,0.922,0.75052,conclusive_harm,TRUE,0.851108121591754,Adequate
CD013875_pub2_data,binary,80,7358,28.8,1.366,1,0.9136,conclusive_benefit,TRUE,0.909128801056769,Adequate
CD014040_pub2_data,binary,48,14774,54.4,8.77,0.998,0.81264,conclusive_benefit,TRUE,0.943491964347198,Adequate
CD014089_data,binary,9,402,46.4,0.08,0.309,0.32046,continue,FALSE,0.274898258515092,Inadequate
CD014145_pub2_data,binary,24,737,1.2,0.187,0.211,0.55776,continue,FALSE,0.336853811641738,Inadequate
CD014160_pub2_data,binary,6,408,0,,0.028,0.35118,unknown,FALSE,0.384554,Inadequate
CD014300_pub2_data,binary,34,19066,55.5,0.707,0.105,0.44804,futile,FALSE,0.466672633087284,Inadequate
CD014428_pub2_data,binary,42,2743,0,,0.039,0.64782,unknown,FALSE,0.475196,Inadequate
CD014497_pub2_data,binary,2,142,38,0.044,0.828,0.37648,continue,TRUE,0.367895265848364,Inadequate
CD014541_pub2_data,binary,94,557115,73.8,2.624,0.118,0.52504,futile,FALSE,0.61273223578692,Marginal
CD014544_pub2_data,binary,121,6891,40.2,0.697,0.946,0.79354,conclusive_benefit,TRUE,0.800556438210818,Adequate
CD014573_data,binary,12,1314910,0,,0.025,0.39612,unknown,FALSE,0.397586,Inadequate
CD014574_pub2_data,binary,35,1696,38.4,1.509,0.042,0.47878,futile,FALSE,0.541850568135233,Marginal
CD014580_pub2_data,binary,33,6122,83.8,0.311,0.03,0.3174,continue,FALSE,0.244986080119772,Critical
CD014585_pub2_data,binary,101,62799,86.7,3.651,1,0.7399,conclusive_harm,TRUE,0.920978614567064,Adequate
CD014594_pub2_data,binary,105,54379,76.5,2.479,0.222,0.54214,continue,FALSE,0.491070046338025,Inadequate
CD014617_pub3_data,binary,12,3080,18.8,2.244,0.081,0.37326,futile,FALSE,0.553787256398078,Marginal
CD014623_pub2_data,binary,5,195,0,0.105,0.126,0.3889,continue,FALSE,0.269184544696016,Inadequate
CD014624_pub2_data,binary,201,19945,7,8.293,1,0.979,conclusive_benefit,TRUE,0.993699907442742,Adequate
CD014666_pub2_data,binary,130,25180,4.1,0.741,0.224,0.7597,continue,FALSE,0.441174003875546,Inadequate
CD014678_pub2_data,binary,223,741544,64.9,6.418,0.507,0.62404,conclusive_benefit,TRUE,0.813258064440853,Adequate
CD014687_pub2_data,binary,38,2648,18.9,0.273,0.81,0.71752,continue,TRUE,0.479633345069993,Inadequate
CD014688_pub2_data,binary,13,2499,0,,0.079,0.43688,unknown,FALSE,0.417914,Inadequate
CD014713_pub2_data,binary,15,11421,47,3.533,0.036,0.28872,futile,FALSE,0.535762387258354,Marginal
CD014722_pub2_data,continuous,332,60444,93.4,11.358,1,0.7198,conclusive_harm,TRUE,0.915939999798542,Adequate
CD014736_pub2_data,binary,28,1463,4,0.141,0.065,0.53876,continue,FALSE,0.306803791137404,Inadequate
CD014741_pub2_data,binary,212,120056,10.2,8.203,0.186,0.73336,continue,FALSE,0.552907889188854,Marginal
CD014755_pub2_data,binary,10,813,0,0.195,0.032,0.3866,continue,FALSE,0.259097722715092,Inadequate
CD014758_pub3_data,binary,274,49458,0,,0.157,0.7573,unknown,FALSE,0.52574,Marginal
CD014762_pub2_data,binary,30,7370,89.3,0.658,0.063,0.29784,futile,FALSE,0.410875825912465,Inadequate
CD014763_pub2_data,binary,68,4933,39.5,0.715,0.948,0.7969,conclusive_harm,TRUE,0.803517364970232,Adequate
CD014769_pub2_data,binary,345,1790948,41.4,51.662,0.992,0.83734,conclusive_harm,TRUE,0.950002,Adequate
CD014785_pub2_data,binary,8,2846,16.8,0.346,0.027,0.31582,continue,FALSE,0.246360341787478,Critical
CD014792_pub2_data,binary,68,8459,4.8,1.17,0.095,0.7246,futile,FALSE,0.593468104587081,Marginal
CD014802_pub2_data,binary,19,4380,43.4,1.334,0.071,0.35138,futile,FALSE,0.493275036238683,Inadequate
CD014803_pub2_data,binary,14,540,0,0.18,0.026,0.41254,continue,FALSE,0.265155012516139,Inadequate
CD014811_pub2_data,binary,33,3824,0,0.736,0.03,0.5685,futile,FALSE,0.494246695391056,Inadequate
CD014820_pub2_data,binary,687,166243,0,23.912,0.854,0.88096,conclusive_harm,TRUE,0.942388,Adequate
CD014833_pub2_data,binary,30,4424,33.2,1.737,0.753,0.5991,conclusive_benefit,TRUE,0.805412921027366,Adequate
CD014844_pub2_data,binary,40,45751,27.9,1.359,0.868,0.7208,conclusive_harm,TRUE,0.830873290297975,Adequate
CD014845_pub2_data,binary,184,85750,0,,0.771,0.86206,unknown,TRUE,0.649268,Marginal
CD014852_pub2_data,binary,202,69641,0,11.047,0.7,0.8491,conclusive_harm,TRUE,0.909729999624753,Adequate
CD014855_pub2_data,binary,72,7048,40.9,0.468,0.831,0.75238,continue,TRUE,0.506673158370731,Marginal
CD014861_pub2_data,binary,42,2449,0,0.465,0.744,0.79302,continue,TRUE,0.505586616834505,Marginal
CD014869_pub2_data,binary,34,5730,0,10.373,0.057,0.5948,futile,FALSE,0.631989998555407,Marginal
CD014871_pub2_data,binary,99,2669,0,,0.036,0.71002,unknown,FALSE,0.493406,Inadequate
CD014872_pub2_data,binary,335,84632,47.7,5.199,1,0.8569,conclusive_benefit,TRUE,0.957024946649536,Adequate
CD014889_pub2_data,binary,26,1674,0,0.808,1,0.808,conclusive_harm,TRUE,0.823432501821977,Adequate
CD014891_pub2_data,binary,25,1470,0,0.46,0.09,0.53708,continue,FALSE,0.330325203332468,Inadequate
CD014914_pub2_data,binary,122,18522,63.9,3.425,0.996,0.78424,conclusive_benefit,TRUE,0.933118485984397,Adequate
CD014920_pub2_data,binary,9,3978,79.3,0.116,0.617,0.26946,continue,TRUE,0.307546244963792,Inadequate
CD014923_pub2_data,binary,27,1137,20.2,0.057,0.984,0.70158,continue,TRUE,0.48941424399628,Inadequate
CD014932_pub2_data,binary,53,8338,0,,0.027,0.70156,unknown,FALSE,0.489518,Inadequate
CD014935_pub2_data,binary,29,1259,42.7,0.168,0.039,0.4156,continue,FALSE,0.267375155005165,Inadequate
CD014937_pub2_data,binary,652,99041,50.9,12.892,1,0.8473,conclusive_harm,TRUE,0.954189999990629,Adequate
CD014941_pub2_data,binary,60,15195,62.5,2.056,1,0.8125,conclusive_benefit,TRUE,0.92216281116904,Adequate
CD014944_pub2_data,binary,18,2239,65.1,0.673,0.056,0.27114,futile,FALSE,0.403159742684853,Inadequate
CD014959_pub2_data,binary,62,31048,92.6,0.364,0.39,0.52312,continue,FALSE,0.364219015461823,Inadequate
CD014960_pub2_data,binary,17,2415,0,0.102,0.11,0.4801,continue,FALSE,0.293997736033407,Inadequate
CD014964_pub2_data,binary,522,56207,65.6,12.366,1,0.8032,conclusive_benefit,TRUE,0.940959999973168,Adequate
CD014965_pub2_data,binary,177,13007,7.2,0.737,1,0.9784,conclusive_benefit,TRUE,0.867810061346148,Adequate
CD014966_pub2_data,binary,105,643669,92.9,15.175,0.7,0.5704,conclusive_harm,TRUE,0.826119999999903,Adequate
CD014967_pub2_data,binary,105,8773,57.3,1.425,0.027,0.5302,futile,FALSE,0.548223428494795,Marginal
CD014999_pub2_data,binary,21,3486,0,0.469,0.852,0.6483,continue,TRUE,0.478675487530013,Inadequate
CD015003_pub2_data,binary,26,3226,48.7,0.48,0.121,0.40924,continue,FALSE,0.29815199878315,Inadequate
CD015014_pub2_data,binary,293,79059,16.1,11.416,0.734,0.80674,conclusive_harm,TRUE,0.902121999820606,Adequate
CD015033_pub2_data,binary,154,11889,25.8,2.477,0.802,0.79108,conclusive_harm,TRUE,0.897714439894996,Adequate
CD015038_pub2_data,binary,81,28228,63.4,2.765,0.629,0.64714,conclusive_harm,TRUE,0.832797882461981,Adequate
CD015040_pub2_data,binary,46,1941,0,,0.104,0.71012,unknown,FALSE,0.503636,Marginal
CD015042_pub2_data,binary,12,1818,49,1.797,0.135,0.30036,futile,FALSE,0.521593626204842,Marginal
CD015046_pub2_data,binary,14,563,0,0.141,0.249,0.48892,continue,FALSE,0.319451791137404,Inadequate
CD015060_pub2_data,binary,27,1415,41.5,0.16,0.052,0.41172,continue,FALSE,0.267735093777091,Inadequate
CD015064_pub2_data,binary,14,8382,67.3,0.62,0.681,0.35596,continue,TRUE,0.377667253242195,Inadequate
CD015066_pub2_data,binary,8,1251,40.8,0.122,0.71,0.39238,continue,TRUE,0.35867240393379,Inadequate
CD015083_pub2_data,binary,1589,755281,0,,0.117,0.74632,unknown,FALSE,0.516446,Marginal
CD015084_pub2_data,binary,32,1448,1.4,0.252,0.958,0.7732,continue,TRUE,0.517264573524556,Marginal
CD015087_pub2_data,binary,78,4814,54.7,0.971,0.319,0.62524,continue,FALSE,0.437522812693278,Inadequate
CD015101_data,binary,41,2344,0,0.009,0.151,0.68368,continue,FALSE,0.356975159631218,Inadequate
CD015120_pub2_data,binary,63,59332,0,,0.443,0.80896,unknown,FALSE,0.584138,Marginal
CD015122_pub2_data,binary,80,14896,57.9,1.809,0.586,0.65698,conclusive_harm,TRUE,0.801897824129246,Adequate
CD015123_pub2_data,binary,31,24303,90.8,1.173,0.672,0.41996,conclusive_harm,TRUE,0.693917450888476,Marginal
CD015134_pub2_data,binary,32,92843,53.4,2.046,0.105,0.4381,futile,FALSE,0.570204637222592,Marginal
CD015140_pub2_data,binary,154,28541,68.3,1.658,0.183,0.55852,continue,FALSE,0.457709088192182,Inadequate
CD015145_pub2_data,binary,7,488,0,0.223,0.75,0.5141,continue,TRUE,0.406631858906501,Inadequate
CD015158_pub2_data,binary,46,6559,0,0.191,0.037,0.67814,continue,FALSE,0.347088175870754,Inadequate
CD015160_pub2_data,binary,52,4614,9,0.255,0.451,0.78328,continue,FALSE,0.444418345483901,Inadequate
CD015192_pub2_data,binary,67,11757,0,0.585,0.653,0.84112,continue,TRUE,0.516015014035233,Marginal
CD015213_pub2_data,binary,253,28413,10.8,2.243,1,0.9676,conclusive_harm,TRUE,0.974910904301794,Adequate
CD015215_pub2_data,binary,150,31599,47.6,1.664,0.122,0.60484,futile,FALSE,0.602853923780244,Marginal
CD015219_pub2_data,binary,271,75396,79.2,2.421,1,0.7624,conclusive_benefit,TRUE,0.917700735270074,Adequate
CD015229_pub2_data,continuous,54,2448,91.2,0.616,1,0.7264,conclusive_harm,TRUE,0.781302381027563,Adequate
CD015252_pub2_data,binary,66,9384,57.5,3.257,0.999,0.82402,conclusive_harm,TRUE,0.944888829545104,Adequate
CD015254_pub2_data,binary,76,10958,79.4,4.19,1,0.7618,conclusive_harm,TRUE,0.928201549124524,Adequate
CD015255_pub2_data,binary,102,12252,72.2,4.842,1,0.7834,conclusive_harm,TRUE,0.934928016186563,Adequate
CD015284_pub2_data,binary,166,19608,10.3,2.557,0.651,0.80992,conclusive_benefit,TRUE,0.882119310321452,Adequate
CD015313_pub2_data,binary,3,156,0,,0.025,0.324,unknown,FALSE,0.37595,Inadequate
CD015314_pub2_data,binary,71,25624,66.3,2.517,1,0.8011,conclusive_benefit,TRUE,0.931147342519859,Adequate
CD015326_pub2_data,binary,433,196444,0,,0.062,0.72532,unknown,FALSE,0.501896,Marginal
CD015331_pub2_data,binary,984,66831,0,5.034,0.237,0.7747,continue,FALSE,0.572897337744222,Marginal
CD015332_pub2_data,binary,252,11046,0,0.903,0.263,0.77962,continue,FALSE,0.468666308369861,Inadequate
CD015350_pub2_data,binary,58,6578,0,3.081,0.171,0.7606,continue,FALSE,0.555762505639702,Marginal
CD015373_pub2_data,binary,99,3675,24.1,0.742,0.98,0.868,conclusive_benefit,TRUE,0.832157608432995,Adequate
CD015383_pub2_data,binary,22,531,0,,0.026,0.47672,unknown,FALSE,0.421916,Inadequate
CD015387_pub2_data,binary,146,34302,71.6,5.621,0.208,0.55396,continue,FALSE,0.502368625151292,Marginal
CD015395_pub3_data,binary,17,18570,90.4,0.231,0.932,0.37186,continue,TRUE,0.391723240807184,Inadequate
CD015432_pub2_data,binary,152,11026,8.8,2.218,0.842,0.8515,conclusive_harm,TRUE,0.915656322231883,Adequate
CD015443_pub2_data,binary,88,48453,79.4,3.056,0.272,0.54292,continue,FALSE,0.505453765705866,Marginal
CD015448_pub2_data,binary,46,5359,0,,0.028,0.67118,unknown,FALSE,0.480554,Inadequate
CD015462_pub2_data,binary,36,3340,0.9,0.525,0.055,0.60684,futile,FALSE,0.491078964395427,Inadequate
CD015476_pub2_data,binary,192,178615,42.4,44.187,1,0.8728,conclusive_benefit,TRUE,0.96184,Adequate
CD015495_data,binary,41,7957,0,0.305,0.896,0.82114,continue,TRUE,0.525623551369734,Marginal
CD015514_pub2_data,binary,10,1482,68.6,0.227,0.127,0.2234,continue,FALSE,0.226202948695698,Critical
CD015517_data,binary,217,21076,0,0.006,0.092,0.73792,continue,FALSE,0.364269722703636,Inadequate
CD015518_data,binary,208,18320,0,,0.058,0.72304,unknown,FALSE,0.500612,Marginal
CD015519_pub2_data,binary,39,3516,0,0.003,0.038,0.62334,continue,FALSE,0.321668864851418,Inadequate
CD015520_data,binary,104,8477,0,,0.135,0.75154,unknown,FALSE,0.520712,Marginal
CD015524_pub2_data,continuous,194,14817,73.7,11.187,0.079,0.5119,futile,FALSE,0.610419999716395,Marginal
CD015526_pub2_data,binary,8,148,11.7,0.068,0.522,0.44986,continue,TRUE,0.345105500054441,Inadequate
CD015530_pub2_data,binary,18,24450,96.9,0.233,0.222,0.22506,continue,FALSE,0.241299838334865,Critical
CD015532_data,binary,139,21334,33.3,7.184,0.238,0.67486,continue,FALSE,0.543157149500629,Marginal
CD015536_pub2_data,binary,247,29175,46.4,5.725,1,0.8608,conclusive_harm,TRUE,0.958224263325258,Adequate
CD015551_pub2_data,binary,26,28022,96.9,0.248,0.11,0.26122,continue,FALSE,0.236231939134349,Critical
CD015573_data,binary,9,584,0,0.075,0.116,0.41802,continue,FALSE,0.274980579401819,Inadequate
CD015584_pub2_data,binary,115,12566,27.9,5.156,0.971,0.8473,conclusive_benefit,TRUE,0.949790901566833,Adequate
CD015588_pub2_data,binary,383,794357,50.1,20.929,0.981,0.79228,conclusive_harm,TRUE,0.934834,Adequate
CD015592_pub3_data,binary,11,4165,74.9,0.366,0.065,0.1903,continue,FALSE,0.215759962266945,Critical
CD015594_pub2_data,binary,5,324,0,0.029,0.161,0.3982,continue,FALSE,0.273695660005216,Inadequate
CD015636_pub2_data,binary,2,12612,0,,0.032,0.32266,unknown,FALSE,0.376598,Inadequate
CD015673_pub2_data,binary,85,19721,27,5.76,0.129,0.66886,futile,FALSE,0.664993327143673,Marginal
CD015698_pub2_data,binary,10,793,0,0.06,0.107,0.4229,continue,FALSE,0.274397774708413,Inadequate
CD015701_pub2_data,binary,19,66246,81.6,1.112,0.596,0.33938,conclusive_harm,TRUE,0.652367402858526,Marginal
CD015711_pub2_data,binary,15,1396,56.2,0.852,0.029,0.25548,futile,FALSE,0.41130112127735,Inadequate
CD015721_pub2_data,binary,41,16041,0,11.785,0.88,0.81604,conclusive_benefit,TRUE,0.926811999914237,Adequate
CD015746_pub2_data,binary,89,1382064,84.8,1.368,0.996,0.72412,conclusive_harm,TRUE,0.851860109566852,Adequate
CD015749_pub2_data,binary,56,5548,0,0.091,0.046,0.71674,continue,FALSE,0.354856806040559,Inadequate
CD015751_pub2_data,binary,33,1766,0,0.016,0.06,0.58836,continue,FALSE,0.315028773760994,Inadequate
CD015779_data,binary,22,11346,86.7,0.15,0.482,0.33086,continue,FALSE,0.307451053016707,Inadequate
CD015786_pub2_data,binary,41,19902,25.3,0.529,1,0.8521,conclusive_harm,TRUE,0.811729305797764,Adequate
CD015788_pub2_data,binary,22,5139,43.7,0.861,0.486,0.4604,continue,FALSE,0.402208834150595,Inadequate
CD015790_pub2_data,binary,54,7890,0,0.099,0.067,0.72778,continue,FALSE,0.361705556113012,Inadequate
CD015802_pub2_data,binary,7,958,10.2,0.133,0.686,0.47204,continue,TRUE,0.379527330136927,Inadequate
CD015804_pub2_data,binary,60,23817,0,8.58,0.394,0.80146,continue,FALSE,0.604537947865461,Marginal
CD015820_pub2_data,binary,30,1704,0,0.105,0.026,0.5406,continue,FALSE,0.299694544696016,Inadequate
CD015824_pub2_data,binary,90,18073,23.6,3.628,0.95,0.84568,conclusive_harm,TRUE,0.945166187849458,Adequate
CD015830_pub2_data,binary,2,30,0,0.008,0.163,0.37468,continue,FALSE,0.266032616210786,Inadequate
CD015849_pub2_data,binary,283,286932,25.8,16.791,0.998,0.90886,conclusive_harm,TRUE,0.972357999999996,Adequate
CD015854_data,binary,89,3191,0.4,0.717,0.078,0.73132,futile,FALSE,0.548528063066123,Marginal
CD015855_data,binary,71,3361,16.2,1.056,0.411,0.7555,continue,FALSE,0.498894153467115,Inadequate
CD015875_data,binary,25,1540,0,0.293,0.129,0.54962,continue,FALSE,0.328356783571697,Inadequate
CD015877_data,continuous,7,235,75.8,0.163,0.25,0.2057,continue,FALSE,0.235788320676211,Critical
CD015894_pub2_data,binary,28,1964,0,0.003,0.039,0.53606,continue,FALSE,0.295634864851418,Inadequate
CD015932_pub2_data,binary,79,115456,94.1,5.228,0.975,0.6526,conclusive_harm,TRUE,0.891987484868525,Adequate
CD015968_data,continuous,45,2830,0,8.112,0.408,0.76368,continue,FALSE,0.59530386706939,Marginal
CD016001_data,binary,31,1184,0,0.073,0.036,0.55772,continue,FALSE,0.304796786974041,Inadequate
CD016002_data,binary,51,3125,0,0.099,0.065,0.72652,continue,FALSE,0.361027556113012,Inadequate
CD016031_data,binary,200,26483,11.7,3.282,0.542,0.78886,conclusive_harm,TRUE,0.865895433689426,Adequate
CD016058_pub2_data,binary,35,9615,52.3,1.606,0.983,0.66742,conclusive_benefit,TRUE,0.851806526936657,Adequate
CD016064_data,binary,573,213793,0,0.104,0.077,0.7321,continue,FALSE,0.364745538527917,Inadequate
CD016119_data,continuous,89,20608,95.4,2.733,1,0.7138,conclusive_benefit,TRUE,0.908080945833272,Adequate
CD016120_data,binary,50,42581,38.3,0.628,0.373,0.68332,continue,FALSE,0.430372014777278,Inadequate
CD016131_data,binary,70,556170,95.4,1.734,0.966,0.64066,conclusive_harm,TRUE,0.849648641107069,Adequate
CD016136_data,binary,205,31671,0,,0.118,0.74656,unknown,FALSE,0.516668,Marginal
CD016147_data,binary,32,3380,29.1,0.754,0.278,0.55096,continue,FALSE,0.387872506414582,Inadequate
CD016148_data,binary,56,49070,19.6,18.038,0.342,0.73438,continue,FALSE,0.576614,Marginal
CD016168_data,binary,45,15983,51.8,1.773,0.104,0.54672,futile,FALSE,0.589483051304302,Marginal
CD016211_data,binary,37,440573,80.6,1.78,0.872,0.53996,conclusive_harm,TRUE,0.808058670596199,Adequate
CD016278_data,binary,61,201533,33.8,9.655,0.291,0.68314,continue,FALSE,0.553591993927151,Marginal
