"dataset_name","method_changes","total_analyses","change_rate"
"CD015326_pub2_data",69,69,1
"CD015331_pub2_data",60,82,0.732
"CD013614_pub2_data",42,122,0.344
"CD006913_pub3_data",41,60,0.683
"CD009235_pub4_data",33,50,0.66
"CD016064_data",29,31,0.935
"CD007784_pub3_data",29,58,0.5
"CD009535_pub3_data",27,30,0.9
"CD015284_pub2_data",26,31,0.839
"CD008349_pub5_data",25,25,1
"CD015140_pub2_data",25,35,0.714
"CD009298_pub3_data",25,76,0.329
"CD013789_pub2_data",22,22,1
"CD014871_pub2_data",21,21,1
"CD015332_pub2_data",20,39,0.513
"CD013758_pub2_data",19,25,0.76
"CD014965_pub2_data",19,42,0.452
"CD006632_pub3_data",18,18,1
"CD015014_pub2_data",18,40,0.45
"CD011197_pub3_data",17,20,0.85
"CD014722_pub2_data",17,20,0.85
"CD011600_pub3_data",17,26,0.654
"CD012850_pub2_data",17,28,0.607
"CD013358_pub2_data",16,19,0.842
"CD015524_pub2_data",16,36,0.444
"CD015588_pub2_data",16,39,0.41
"CD011624_pub3_data",15,15,1
"CD015520_data",15,15,1
"CD006536_pub5_data",15,23,0.652
"CD015849_pub2_data",15,38,0.395
"CD013303_pub2_data",14,18,0.778
"CD013342_pub2_data",14,22,0.636
"CD013810_pub2_data",13,13,1
"CD013508_pub3_data",13,15,0.867
"CD013284_pub2_data",13,16,0.812
"CD010216_pub9_data",13,18,0.722
"CD007374_pub3_data",13,19,0.684
"CD013105_pub2_data",13,19,0.684
"CD012268_pub2_data",12,12,1
"CD013294_pub2_data",12,12,1
"CD014845_pub2_data",12,12,1
"CD015083_pub2_data",12,12,1
"CD007809_pub3_data",12,14,0.857
"CD011851_pub3_data",12,14,0.857
"CD001703_pub4_data",12,15,0.8
"CD011806_pub2_data",12,17,0.706
"CD013071_pub2_data",12,21,0.571
"CD006185_pub6_data",12,24,0.5
"CD008176_pub3_data",12,28,0.429
"CD013278_pub3_data",12,47,0.255
"CD008771_pub3_data",11,11,1
"CD010856_pub3_data",11,11,1
"CD015790_pub2_data",11,12,0.917
"CD004871_pub5_data",11,13,0.846
"CD011330_pub2_data",11,13,0.846
"CD005343_pub7_data",11,15,0.733
"CD010189_pub3_data",10,10,1
"CD011778_pub2_data",10,10,1
"CD012445_pub2_data",10,10,1
"CD014758_pub3_data",10,10,1
"CD011793_pub3_data",10,14,0.714
"CD013456_pub2_data",10,14,0.714
"CD013631_pub2_data",10,14,0.714
"CD016120_data",10,14,0.714
"CD010966_pub4_data",10,17,0.588
"CD009752_pub3_data",10,20,0.5
"CD015215_pub2_data",10,26,0.385
"CD016031_data",10,36,0.278
"CD011885_pub2_data",10,39,0.256
"CD013591_pub2_data",9,9,1
"CD015517_data",9,9,1
"CD013038_pub3_data",9,11,0.818
"CD013571_pub2_data",9,13,0.692
"CD003429_pub5_data",9,14,0.643
"CD008309_pub3_data",9,20,0.45
"CD012693_pub3_data",9,33,0.273
"CD007837_pub3_data",8,8,1
"CD008145_pub4_data",8,8,1
"CD001920_pub4_data",8,10,0.8
"CD007130_pub5_data",8,11,0.727
"CD014861_pub2_data",8,11,0.727
"CD013643_pub2_data",8,13,0.615
"CD015476_pub2_data",8,24,0.333
"CD015854_data",8,24,0.333
"CD015824_pub2_data",8,26,0.308
"CD002112_pub2_data",8,28,0.286
"CD003477_pub5_data",7,7,1
"CD008552_pub8_data",7,7,1
"CD014428_pub2_data",7,7,1
"CD015448_pub2_data",7,7,1
"CD013822_pub2_data",7,10,0.7
"CD002115_pub6_data",7,11,0.636
"CD013821_pub2_data",7,11,0.636
"CD002971_pub6_data",7,13,0.538
"CD005595_pub4_data",7,13,0.538
"CD009022_pub4_data",7,13,0.538
"CD007639_pub3_data",7,14,0.5
"CD013474_pub2_data",7,15,0.467
"CD013613_pub2_data",7,15,0.467
"CD016119_data",7,15,0.467
"CD011305_pub3_data",7,17,0.412
"CD015033_pub2_data",7,22,0.318
"CD010145_pub2_data",7,26,0.269
"CD002243_pub5_data",7,54,0.13
"CD011689_pub4_data",7,68,0.103
"CD010136_pub4_data",6,6,1
"CD014932_pub2_data",6,6,1
"CD015894_pub2_data",6,6,1
"CD011626_pub3_data",6,7,0.857
"CD013729_pub2_data",6,7,0.857
"CD015749_pub2_data",6,7,0.857
"CD005495_pub5_data",6,8,0.75
"CD004184_pub3_data",6,10,0.6
"CD012572_pub3_data",6,10,0.6
"CD013541_pub2_data",6,10,0.6
"CD013774_pub2_data",6,10,0.6
"CD013823_pub2_data",6,12,0.5
"CD009730_pub3_data",6,14,0.429
"CD013763_pub3_data",6,14,0.429
"CD013827_pub2_data",6,14,0.429
"CD007872_pub4_data",6,15,0.4
"CD016168_data",6,18,0.333
"CD016278_data",6,18,0.333
"CD003962_pub3_data",6,20,0.3
"CD013715_pub2_data",6,22,0.273
"CD012079_pub2_data",6,24,0.25
"CD012586_pub2_data",6,24,0.25
"CD013445_pub2_data",6,33,0.182
"CD006023_pub4_data",6,38,0.158
"CD003218_pub3_data",5,5,1
"CD004762_pub3_data",5,5,1
"CD015518_data",5,5,1
"CD015519_pub2_data",5,5,1
"CD016136_data",5,5,1
"CD003833_pub5_data",5,6,0.833
"CD007859_pub5_data",5,6,0.833
"CD015820_pub2_data",5,6,0.833
"CD014300_pub2_data",5,7,0.714
"CD014891_pub2_data",5,7,0.714
"CD012718_pub2_data",5,8,0.625
"CD013726_pub2_data",5,8,0.625
"CD015786_pub2_data",5,9,0.556
"CD001552_pub3_data",5,10,0.5
"CD011866_pub3_data",5,10,0.5
"CD013429_pub2_data",5,10,0.5
"CD015462_pub2_data",5,10,0.5
"CD013590_pub2_data",5,11,0.455
"CD015038_pub2_data",5,11,0.455
"CD000547_pub3_data",5,12,0.417
"CD008873_pub5_data",5,14,0.357
"CD004508_pub5_data",5,15,0.333
"CD014872_pub2_data",5,15,0.333
"CD002203_pub5_data",5,17,0.294
"CD013816_pub2_data",5,18,0.278
"CD014852_pub2_data",5,26,0.192
"CD003451_pub3_data",4,4,1
"CD007491_pub3_data",4,4,1
"CD010779_pub2_data",4,4,1
"CD013078_pub2_data",4,4,1
"CD013353_pub2_data",4,4,1
"CD013834_pub2_data",4,4,1
"CD015040_pub2_data",4,4,1
"CD015158_pub2_data",4,4,1
"CD015383_pub2_data",4,4,1
"CD014666_pub2_data",4,5,0.8
"CD006982_pub5_data",4,6,0.667
"CD008165_pub5_data",4,6,0.667
"CD013166_pub3_data",4,6,0.667
"CD013331_pub2_data",4,6,0.667
"CD015084_pub2_data",4,6,0.667
"CD015751_pub2_data",4,6,0.667
"CD009788_pub3_data",4,7,0.571
"CD004992_pub4_data",4,8,0.5
"CD007024_pub3_data",4,8,0.5
"CD012925_pub2_data",4,8,0.5
"CD008940_pub4_data",4,9,0.444
"CD012993_pub2_data",4,9,0.444
"CD001797_pub4_data",4,10,0.4
"CD006515_pub2_data",4,10,0.4
"CD008628_pub3_data",4,10,0.4
"CD009417_pub3_data",4,10,0.4
"CD011841_pub3_data",4,10,0.4
"CD013757_pub3_data",4,10,0.4
"CD005566_pub4_data",4,11,0.364
"CD009679_pub3_data",4,11,0.364
"CD013707_pub2_data",4,11,0.364
"CD013844_pub2_data",4,11,0.364
"CD014855_pub2_data",4,14,0.286
"CD015213_pub2_data",4,14,0.286
"CD015432_pub2_data",4,14,0.286
"CD007079_pub4_data",4,15,0.267
"CD015122_pub2_data",4,15,0.267
"CD015746_pub2_data",4,17,0.235
"CD013800_pub2_data",4,19,0.211
"CD001396_pub4_data",4,20,0.2
"CD015932_pub2_data",4,20,0.2
"CD003414_pub4_data",4,23,0.174
"CD004953_pub5_data",4,23,0.174
"CD012067_pub3_data",4,23,0.174
"CD012152_pub4_data",4,28,0.143
"CD006712_pub3_data",3,3,1
"CD008063_pub3_data",3,3,1
"CD011800_pub2_data",3,3,1
"CD012170_pub2_data",3,3,1
"CD014785_pub2_data",3,3,1
"CD007895_pub3_data",3,4,0.75
"CD007896_pub4_data",3,4,0.75
"CD013059_pub2_data",3,4,0.75
"CD015101_data",3,4,0.75
"CD015526_pub2_data",3,4,0.75
"CD015592_pub3_data",3,4,0.75
"CD013476_pub2_data",3,5,0.6
"CD014736_pub2_data",3,5,0.6
"CD015788_pub2_data",3,5,0.6
"CD008469_pub3_data",3,6,0.5
"CD014544_pub2_data",3,6,0.5
"CD015875_data",3,6,0.5
"CD014580_pub2_data",3,7,0.429
"CD015160_pub2_data",3,7,0.429
"CD002052_pub4_data",3,8,0.375
"CD008688_pub3_data",3,8,0.375
"CD013042_pub2_data",3,8,0.375
"CD014833_pub2_data",3,8,0.375
"CD003331_pub6_data",3,9,0.333
"CD005951_pub5_data",3,9,0.333
"CD009531_pub3_data",3,9,0.333
"CD015804_pub2_data",3,9,0.333
"CD008564_pub3_data",3,10,0.3
"CD013414_pub2_data",3,10,0.3
"CD011858_pub2_data",3,11,0.273
"CD013539_pub2_data",3,11,0.273
"CD015350_pub2_data",3,11,0.273
"CD015192_pub2_data",3,12,0.25
"CD015855_data",3,12,0.25
"CD015584_pub2_data",3,13,0.231
"CD014967_pub2_data",3,14,0.214
"CD010861_pub3_data",3,15,0.2
"CD013232_pub2_data",3,20,0.15
"CD007572_pub4_data",3,21,0.143
"CD012429_pub2_data",3,23,0.13
"CD013396_pub2_data",3,26,0.115
"CD002042_pub6_data",3,71,0.042
"CD004372_pub3_data",2,2,1
"CD012532_pub2_data",2,2,1
"CD014573_data",2,2,1
"CD014688_pub2_data",2,2,1
"CD015120_pub2_data",2,2,1
"CD015594_pub2_data",2,2,1
"CD013468_pub2_data",2,3,0.667
"CD013773_pub2_data",2,3,0.667
"CD007156_pub3_data",2,4,0.5
"CD009508_pub2_data",2,4,0.5
"CD013801_pub2_data",2,4,0.5
"CD008237_pub4_data",2,5,0.4
"CD014811_pub2_data",2,5,0.4
"CD010533_pub3_data",2,6,0.333
"CD012570_pub2_data",2,6,0.333
"CD013421_pub2_data",2,7,0.286
"CD007674_pub3_data",2,8,0.25
"CD008493_pub5_data",2,8,0.25
"CD011039_pub2_data",2,8,0.25
"CD011381_pub3_data",2,8,0.25
"CD012905_pub2_data",2,8,0.25
"CD014763_pub2_data",2,8,0.25
"CD009102_pub2_data",2,9,0.222
"CD012642_pub2_data",2,9,0.222
"CD014935_pub2_data",2,9,0.222
"CD015252_pub2_data",2,9,0.222
"CD006919_pub5_data",2,10,0.2
"CD011044_pub3_data",2,10,0.2
"CD015673_pub2_data",2,10,0.2
"CD003511_pub6_data",2,12,0.167
"CD013366_pub2_data",2,14,0.143
"CD013874_pub3_data",2,14,0.143
"CD007310_pub3_data",2,15,0.133
"CD014585_pub2_data",2,16,0.125
"CD015532_data",2,17,0.118
"CD015536_pub2_data",2,17,0.118
"CD011575_pub3_data",2,20,0.1
"CD013781_pub2_data",2,24,0.083
"CD003594_pub7_data",2,28,0.071
"CD013830_pub2_data",2,37,0.054
"CD006404_pub5_data",2,42,0.048
"CD004736_pub6_data",2,75,0.027
"CD014160_pub2_data",1,1,1
"CD014755_pub2_data",1,1,1
"CD015636_pub2_data",1,1,1
"CD007569_pub4_data",1,2,0.5
"CD012623_pub2_data",1,2,0.5
"CD012967_pub2_data",1,2,0.5
"CD014089_data",1,2,0.5
"CD015066_pub2_data",1,2,0.5
"CD016001_data",1,2,0.5
"CD008879_pub3_data",1,3,0.333
"CD011468_pub2_data",1,3,0.333
"CD014960_pub2_data",1,3,0.333
"CD015042_pub2_data",1,3,0.333
"CD015495_data",1,3,0.333
"CD015573_data",1,3,0.333
"CD015802_pub2_data",1,3,0.333
"CD003129_pub2_data",1,4,0.25
"CD007110_pub4_data",1,4,0.25
"CD009252_pub2_data",1,4,0.25
"CD013332_pub2_data",1,4,0.25
"CD014966_pub2_data",1,4,0.25
"CD015514_pub2_data",1,4,0.25
"CD004417_pub6_data",1,5,0.2
"CD004703_pub3_data",1,5,0.2
"CD006714_pub3_data",1,5,0.2
"CD012214_pub3_data",1,5,0.2
"CD013377_pub2_data",1,5,0.2
"CD014145_pub2_data",1,5,0.2
"CD014594_pub2_data",1,5,0.2
"CD015123_pub2_data",1,5,0.2
"CD015779_data",1,5,0.2
"CD003216_pub3_data",1,6,0.167
"CD011670_pub3_data",1,6,0.167
"CD012178_pub2_data",1,6,0.167
"CD012397_pub2_data",1,6,0.167
"CD013853_pub2_data",1,6,0.167
"CD014999_pub2_data",1,6,0.167
"CD006124_pub3_data",1,7,0.143
"CD010441_pub3_data",1,7,0.143
"CD011627_pub3_data",1,7,0.143
"CD012335_pub2_data",1,7,0.143
"CD012891_pub2_data",1,7,0.143
"CD013355_pub2_data",1,7,0.143
"CD015134_pub2_data",1,7,0.143
"CD015443_pub2_data",1,7,0.143
"CD003376_pub4_data",1,8,0.125
"CD008973_pub3_data",1,8,0.125
"CD011671_pub3_data",1,8,0.125
"CD016147_data",1,8,0.125
"CD001155_pub3_data",1,9,0.111
"CD013052_pub3_data",1,9,0.111
"CD014741_pub2_data",1,9,0.111
"CD013295_pub2_data",1,10,0.1
"CD014040_pub2_data",1,10,0.1
"CD015387_pub2_data",1,11,0.091
"CD015254_pub2_data",1,12,0.083
"CD012635_pub2_data",1,13,0.077
"CD016131_data",1,13,0.077
"CD011762_pub2_data",1,14,0.071
"CD010290_pub4_data",1,17,0.059
"CD004667_pub6_data",1,19,0.053
"CD008709_pub4_data",1,20,0.05
"CD012712_pub2_data",1,20,0.05
"CD015255_pub2_data",1,20,0.05
"CD015373_pub2_data",1,23,0.043
"CD003598_pub3_data",1,33,0.03
"CD014624_pub2_data",1,34,0.029
"CD011535_pub7_data",1,81,0.012
"CD000028_pub4_data",0,13,0
"CD000143_pub2_data",0,3,0
"CD000219_pub5_data",0,6,0
"CD000478_pub5_data",0,4,0
"CD001321_pub7_data",0,5,0
"CD001431_pub6_data",0,6,0
"CD001533_pub7_data",0,5,0
"CD001837_pub4_data",0,4,0
"CD001909_pub4_data",0,7,0
"CD002122_pub3_data",0,57,0
"CD002290_pub6_data",0,5,0
"CD002303_pub4_data",0,2,0
"CD003333_pub4_data",0,3,0
"CD003357_pub5_data",0,5,0
"CD003519_pub5_data",0,17,0
"CD003774_pub5_data",0,18,0
"CD004307_pub7_data",0,7,0
"CD004376_pub4_data",0,3,0
"CD004406_pub6_data",0,8,0
"CD004661_pub4_data",0,25,0
"CD004904_pub4_data",0,1,0
"CD004925_pub4_data",0,7,0
"CD005133_pub4_data",0,10,0
"CD005187_pub6_data",0,5,0
"CD005582_pub5_data",0,3,0
"CD006027_pub3_data",0,4,0
"CD006140_pub3_data",0,11,0
"CD006182_pub3_data",0,11,0
"CD006257_pub2_data",0,16,0
"CD006273_pub4_data",0,1,0
"CD006475_pub3_data",0,22,0
"CD006606_pub5_data",0,12,0
"CD006689_pub3_data",0,23,0
"CD006742_pub3_data",0,4,0
"CD006839_pub5_data",0,5,0
"CD006942_pub4_data",0,7,0
"CD007026_pub7_data",0,6,0
"CD007388_pub3_data",0,17,0
"CD008858_pub5_data",0,5,0
"CD008995_pub3_data",0,1,0
"CD009244_pub3_data",0,4,0
"CD009362_pub4_data",0,4,0
"CD009609_pub3_data",0,2,0
"CD009749_pub3_data",0,10,0
"CD009945_pub3_data",0,2,0
"CD010001_pub4_data",0,6,0
"CD010163_pub3_data",0,2,0
"CD010583_pub6_data",0,11,0
"CD011120_pub3_data",0,3,0
"CD011204_pub3_data",0,10,0
"CD011218_pub2_data",0,2,0
"CD012186_pub2_data",0,2,0
"CD012426_pub2_data",0,5,0
"CD012503_pub3_data",0,11,0
"CD012594_pub2_data",0,1,0
"CD012609_pub2_data",0,6,0
"CD012757_pub2_data",0,9,0
"CD012942_pub2_data",0,10,0
"CD012997_pub3_data",0,1,0
"CD013023_pub2_data",0,4,0
"CD013051_pub3_data",0,4,0
"CD013053_pub3_data",0,3,0
"CD013054_pub3_data",0,8,0
"CD013055_pub3_data",0,2,0
"CD013056_pub3_data",0,4,0
"CD013057_pub3_data",0,1,0
"CD013111_pub2_data",0,5,0
"CD013158_pub2_data",0,5,0
"CD013197_pub2_data",0,9,0
"CD013255_pub2_data",0,6,0
"CD013344_pub2_data",0,14,0
"CD013408_pub2_data",0,14,0
"CD013425_pub2_data",0,13,0
"CD013462_pub3_data",0,9,0
"CD013561_pub2_data",0,6,0
"CD013595_pub2_data",0,10,0
"CD013672_pub2_data",0,9,0
"CD013719_pub2_data",0,5,0
"CD013731_pub2_data",0,3,0
"CD013745_pub2_data",0,7,0
"CD013748_pub2_data",0,7,0
"CD013764_pub2_data",0,7,0
"CD013875_pub2_data",0,13,0
"CD014541_pub2_data",0,22,0
"CD014574_pub2_data",0,9,0
"CD014617_pub3_data",0,3,0
"CD014623_pub2_data",0,2,0
"CD014678_pub2_data",0,8,0
"CD014687_pub2_data",0,3,0
"CD014713_pub2_data",0,4,0
"CD014762_pub2_data",0,5,0
"CD014769_pub2_data",0,28,0
"CD014792_pub2_data",0,10,0
"CD014802_pub2_data",0,6,0
"CD014803_pub2_data",0,2,0
"CD014820_pub2_data",0,10,0
"CD014844_pub2_data",0,9,0
"CD014869_pub2_data",0,5,0
"CD014889_pub2_data",0,5,0
"CD014914_pub2_data",0,10,0
"CD014920_pub2_data",0,3,0
"CD014923_pub2_data",0,4,0
"CD014937_pub2_data",0,21,0
"CD014941_pub2_data",0,21,0
"CD014944_pub2_data",0,2,0
"CD014959_pub2_data",0,16,0
"CD014964_pub2_data",0,17,0
"CD015003_pub2_data",0,4,0
"CD015046_pub2_data",0,1,0
"CD015060_pub2_data",0,3,0
"CD015064_pub2_data",0,1,0
"CD015087_pub2_data",0,11,0
"CD015145_pub2_data",0,2,0
"CD015219_pub2_data",0,13,0
"CD015314_pub2_data",0,8,0
"CD015395_pub3_data",0,4,0
"CD015530_pub2_data",0,4,0
"CD015551_pub2_data",0,6,0
"CD015698_pub2_data",0,3,0
"CD015701_pub2_data",0,4,0
"CD015711_pub2_data",0,5,0
"CD015721_pub2_data",0,7,0
"CD015830_pub2_data",0,1,0
"CD016002_data",0,5,0
"CD016058_pub2_data",0,4,0
"CD016148_data",0,5,0
"CD016211_data",0,11,0
